Country;Year;Food Category;Total Waste (Tons);Economic Loss (Million $);Avg Waste per Capita (Kg);Population (Million);Household Waste (%);Economic Loss per Ton ($);Year Category
UK;2024;Beverages;4767981;4779163;2365;133472;4303; 10.023.452.274.663.000,00 ;2022-2024
South Africa;2022;Bakery Items;908481;910669;11447;64084;5748; 10.024.084.158.061.600,00 ;2022-2024
Brazil;2024;Prepared Food;884575;886907;13081;113391;3545; 10.026.362.942.656.100,00 ;2022-2024
China;2021;Grains & Cereals;615396;61708;17624;6119;6659; 10.027.364.493.756.900,00 ;2018-2021
Canada;2022;Beverages;2738423;2746001;16687;112517;3288; 10.027.672.861.351.200,00 ;2022-2024
Germany;2021;Bakery Items;2931452;2939598;17118;92472;4024; 10.027.788.276.935.800,00 ;2018-2021
Japan;2020;Meat & Seafood;2270479;2276789;10948;129689;6743; 10.027.791.492.456.000,00 ;2018-2021
India;2018;Dairy Products;4971302;4985842;1888;69959;4276; 10.029.247.871.080.900,00 ;2018-2021
France;2024;Prepared Food;106809;107136;17265;113056;520; 10.030.615.397.578.900,00 ;2022-2024
Canada;2018;Grains & Cereals;4057872;4070586;7965;128428;561; 10.031.331.693.064.700,00 ;2018-2021
Indonesia;2024;Meat & Seafood;883853;886716;10769;106413;495; 10.032.392.264.324.500,00 ;2022-2024
Argentina;2022;Meat & Seafood;2872546;2882133;12602;4124;4887; 10.033.374.574.332.300,00 ;2022-2024
France;2018;Frozen Food;4971301;4987984;13747;120249;377; 10.033.558.619.765.700,00 ;2018-2021
Argentina;2023;Prepared Food;1237233;1241582;13817;113827;5201; 10.035.151.018.442.000,00 ;2022-2024
Brazil;2024;Frozen Food;2913847;2924106;11904;5623;4559; 10.035.207.751.127.600,00 ;2022-2024
India;2023;Fruits & Vegetables;1160307;1164419;2614;14002;4524; 10.035.438.896.774.700,00 ;2022-2024
South Korea;2019;Dairy Products;1012427;1016074;15442;24287;3429; 10.036.022.350.253.400,00 ;2018-2021
Turkey;2018;Beverages;3073239;3084446;17613;11536;5736; 10.036.466.412.146.900,00 ;2018-2021
Canada;2024;Bakery Items;1563324;1569713;13915;133071;333; 10.040.868.047.826.300,00 ;2022-2024
China;2018;Bakery Items;671385;674179;13531;67372;5674; 10.041.615.466.535.600,00 ;2018-2021
Canada;2019;Bakery Items;3634545;3649901;9199;83224;3611; 10.042.250.130.346.400,00 ;2018-2021
Argentina;2020;Bakery Items;4931046;4952057;2169;98397;5547; 10.042.609.620.757.900,00 ;2018-2021
Argentina;2019;Meat & Seafood;2341225;2351413;17836;71272;3365; 10.043.515.680.893.500,00 ;2018-2021
Turkey;2023;Bakery Items;2321507;2331707;19551;66966;3583; 10.043.936.977.144.600,00 ;2022-2024
Spain;2024;Fruits & Vegetables;889376;893525;17861;34533;3867; 10.046.650.685.424.400,00 ;2022-2024
South Korea;2020;Fruits & Vegetables;36573;367447;2504;69788;4784; 10.046.947.201.487.400,00 ;2018-2021
South Africa;2019;Meat & Seafood;4233615;4253636;6821;138238;5375; 10.047.290.554.289.900,00 ;2018-2021
Japan;2022;Prepared Food;2910743;2924563;4161;21847;6435; 10.047.479.286.216.600,00 ;2022-2024
Mexico;2020;Bakery Items;1827947;1836955;5973;29053;6823; 10.049.279.328.120.600,00 ;2018-2021
UK;2022;Frozen Food;352805;354565;19944;85908;6034; 10.049.885.914.315.300,00 ;2022-2024
France;2018;Bakery Items;3056639;3072011;17265;11287;3539; 10.050.290.531.528.300,00 ;2018-2021
USA;2022;Meat & Seafood;2671279;2684834;6614;76193;5213; 10.050.743.482.803.600,00 ;2022-2024
Russia;2022;Meat & Seafood;2209345;2220646;4327;6360;5783; 10.051.150.906.716.700,00 ;2022-2024
Italy;2019;Dairy Products;416062;4181933;4452;46216;443; 10.051.225.538.501.500,00 ;2018-2021
South Africa;2023;Beverages;1640478;1648893;14496;125865;4867; 10.051.296.024.695.200,00 ;2022-2024
Saudi Arabia;2019;Fruits & Vegetables;316900;3185308;5492;95613;3474; 10.051.461.028.715.700,00 ;2018-2021
Indonesia;2021;Dairy Products;664226;667668;15002;112296;5128; 10.051.819.711.965.500,00 ;2018-2021
Mexico;2023;Beverages;453302;4556569;13578;85462;3971; 10.051.949.914.185.200,00 ;2022-2024
Italy;2021;Dairy Products;1067542;1073223;880;2034;6845; 10.053.215.704.862.200,00 ;2018-2021
Italy;2021;Frozen Food;1867797;1877826;6716;131771;3024; 10.053.694.271.915.000,00 ;2018-2021
Brazil;2021;Frozen Food;1415018;1422665;17893;6129;3733; 10.054.041.715.370.400,00 ;2018-2021
Italy;2020;Fruits & Vegetables;1366452;1373879;3201;116668;6457; 10.054.352.439.749.100,00 ;2018-2021
Russia;2019;Dairy Products;3550069;3569377;18279;45844;4117; 10.054.387.675.281.800,00 ;2018-2021
UK;2021;Bakery Items;1544134;1552729;1624;31661;3212; 10.055.662.267.652.900,00 ;2018-2021
India;2020;Prepared Food;193351;194429;11081;4073;5751; 10.055.753.525.970.900,00 ;2018-2021
Argentina;2018;Bakery Items;4731398;4757964;3728;62579;6285; 10.056.148.309.653.900,00 ;2018-2021
Argentina;2019;Dairy Products;1193247;1200372;17956;2330;5895; 10.059.711.023.786.400,00 ;2018-2021
Brazil;2020;Grains & Cereals;2256808;227037;12449;8259;5116; 10.060.093.725.297.000,00 ;2018-2021
Australia;2023;Bakery Items;3589952;3612381;12757;50369;6455; 10.062.477.158.469.000,00 ;2022-2024
Saudi Arabia;2021;Meat & Seafood;1758993;1770492;5511;73032;4158; 10.065.372.630.817.700,00 ;2018-2021
Turkey;2024;Grains & Cereals;3183659;3204725;12361;73436;4983; 10.066.169.146.884.100,00 ;2022-2024
Brazil;2019;Fruits & Vegetables;1217541;1225612;1172;46097;694; 10.066.289.348.777.600,00 ;2018-2021
South Africa;2021;Dairy Products;60789;61211;13662;12937;4194; 10.069.420.454.358.500,00 ;2018-2021
South Korea;2020;Bakery Items;1349998;1359382;13645;77831;3146; 10.069.511.214.090.700,00 ;2018-2021
USA;2024;Meat & Seafood;1935244;1948892;7703;112753;6976; 10.070.523.406.867.600,00 ;2022-2024
South Korea;2023;Bakery Items;1779458;1792104;2063;90478;6189; 10.071.066.583.195.600,00 ;2022-2024
Mexico;2021;Grains & Cereals;3108107;3130292;9962;4631;5006; 10.071.377.851.534.700,00 ;2018-2021
Saudi Arabia;2022;Prepared Food;145289;146353;15126;96776;5887; 10.073.233.348.705.000,00 ;2022-2024
Mexico;2022;Beverages;1274204;1283543;6634;68377;4223; 10.073.292.816.534.900,00 ;2022-2024
USA;2022;Dairy Products;2575342;2594247;7151;57714;6523; 10.073.407.726.041.800,00 ;2022-2024
China;2018;Frozen Food;141816;1429025;4293;78909;5346; 10.076.613.358.154.200,00 ;2018-2021
UK;2024;Grains & Cereals;3025198;3048518;15522;67312;3325; 10.077.085.863.470.800,00 ;2022-2024
Canada;2018;Bakery Items;3205529;3230272;18377;40202;6739; 10.077.188.507.731.500,00 ;2018-2021
Turkey;2019;Fruits & Vegetables;3966087;3997188;7215;29207;6857; 10.078.417.341.828.400,00 ;2018-2021
Spain;2021;Grains & Cereals;4408172;4442964;10715;34913;6464; 10.078.926.139.905.600,00 ;2018-2021
Canada;2021;Beverages;2997713;3021494;9279;33005;4649; 10.079.330.476.266.400,00 ;2018-2021
Brazil;2022;Fruits & Vegetables;588153;592915;1964;23031;6264; 10.080.965.327.049.300,00 ;2022-2024
Germany;2020;Grains & Cereals;1584689;1597717;2966;1429;6866; 10.082.211.714.727.600,00 ;2018-2021
South Korea;2022;Grains & Cereals;275190;2774527;16355;79156;4295; 10.082.223.191.249.700,00 ;2022-2024
Turkey;2023;Bakery Items;3842354;3874301;18479;81625;3018; 10.083.144.343.285.400,00 ;2022-2024
Argentina;2021;Prepared Food;2663765;2686399;7679;3968;3432; 10.084.969.957.935.500,00 ;2018-2021
France;2018;Prepared Food;2187697;2206337;19186;89978;4191; 10.085.203.755.364.700,00 ;2018-2021
Australia;2023;Bakery Items;420068;4236802;3338;63692;3629; 10.085.990.839.578.400,00 ;2022-2024
Mexico;2020;Prepared Food;2845574;2870179;6452;12702;5637; 10.086.467.616.024.000,00 ;2018-2021
Brazil;2021;Dairy Products;271229;273591;18547;22839;6679; 10.087.085.083.084.800,00 ;2018-2021
South Korea;2019;Dairy Products;3626909;3658501;10624;103353;4725; 10.087.104.473.809.500,00 ;2018-2021
Saudi Arabia;2022;Grains & Cereals;4228131;4266453;3536;99435;4971; 10.090.635.791.559.000,00 ;2022-2024
Italy;2021;Prepared Food;101440;1023601;11431;10403;5005; 10.090.703.864.353.300,00 ;2018-2021
USA;2020;Fruits & Vegetables;3321695;3351919;19022;45498;6356; 10.090.989.690.504.400,00 ;2018-2021
Italy;2023;Bakery Items;3587023;3619808;16596;53836;3773; 10.091.398.912.134.100,00 ;2022-2024
Saudi Arabia;2021;Fruits & Vegetables;3928923;3964934;1512;6436;5415; 10.091.656.161.243.200,00 ;2018-2021
Brazil;2020;Prepared Food;4443325;4484949;15083;112717;6127; 10.093.677.595.044.300,00 ;2018-2021
Canada;2022;Frozen Food;2693648;2719247;9351;19361;335; 10.095.034.689.016.500,00 ;2022-2024
South Korea;2020;Dairy Products;133742;1350138;7373;72793;4054; 10.095.093.538.305.100,00 ;2018-2021
Russia;2021;Dairy Products;682203;688737;9829;81389;4164; 10.095.777.942.929.000,00 ;2018-2021
Mexico;2023;Dairy Products;642044;64835;5889;80678;4929; 10.098.217.567.643.300,00 ;2022-2024
Spain;2024;Prepared Food;1766469;1783892;9364;102906;5823; 10.098.631.790.311.600,00 ;2022-2024
South Africa;2022;Fruits & Vegetables;300727;3037068;9755;6442;6906; 10.099.086.546.934.600,00 ;2022-2024
Saudi Arabia;2022;Meat & Seafood;515347;520455;11125;10558;3623; 10.099.117.681.872.600,00 ;2022-2024
Italy;2022;Meat & Seafood;2716947;2743948;15777;132682;6628; 10.099.379.929.015.900,00 ;2022-2024
Argentina;2024;Bakery Items;4693657;474076;8718;105721;3509; 10.100.354.584.921.700,00 ;2022-2024
Australia;2021;Meat & Seafood;4250197;4293307;1032;88657;672; 10.101.430.592.511.400,00 ;2018-2021
South Africa;2020;Fruits & Vegetables;696042;703106;9719;10543;3707; 10.101.488.128.589.900,00 ;2018-2021
South Korea;2021;Fruits & Vegetables;2418893;2443503;14367;30325;3761; 10.101.740.754.965.200,00 ;2018-2021
Canada;2022;Bakery Items;4180881;4223658;6775;65529;4516; 10.102.315.755.937.600,00 ;2022-2024
Indonesia;2024;Fruits & Vegetables;3862878;3902403;7919;106724;627; 10.102.320.083.626.800,00 ;2022-2024
Australia;2019;Frozen Food;1865662;1884919;12485;85183;3319; 10.103.218.053.430.900,00 ;2018-2021
China;2024;Frozen Food;1176679;1189012;2126;8469;3722; 10.104.811.932.566.100,00 ;2022-2024
Mexico;2019;Fruits & Vegetables;4469757;4516712;16678;86208;6749; 10.105.050.453.525.800,00 ;2018-2021
Turkey;2019;Dairy Products;1812216;1831309;9617;10978;3952; 10.105.357.198.038.200,00 ;2018-2021
Saudi Arabia;2022;Dairy Products;3758748;3798464;6013;36108;4327; 10.105.662.843.053.100,00 ;2022-2024
South Africa;2022;Beverages;3788141;382855;7596;69308;5216; 10.106.672.375.711.500,00 ;2022-2024
Saudi Arabia;2021;Dairy Products;4981932;5035332;19666;18351;6548; 10.107.187.332.143.400,00 ;2018-2021
France;2020;Fruits & Vegetables;1866302;1886579;18252;9040;4799; 10.108.648.010.879.300,00 ;2018-2021
Australia;2024;Bakery Items;1502578;1518924;13336;5980;381; 10.108.786.365.832.600,00 ;2022-2024
South Korea;2022;Prepared Food;3523747;3562263;11627;136987;5321; 10.109.304.101.571.400,00 ;2022-2024
Russia;2019;Grains & Cereals;718599;726493;7695;26338;5393; 10.109.852.643.825.000,00 ;2018-2021
Indonesia;2023;Prepared Food;1340863;1355612;12734;55613;5911; 10.109.996.323.263.500,00 ;2022-2024
Japan;2024;Dairy Products;358922;3628772;15465;18352;3062; 10.110.196.644.396.300,00 ;2022-2024
France;2021;Beverages;4752474;480584;7741;108746;3973; 10.112.290.987.809.700,00 ;2018-2021
Turkey;2018;Beverages;3624018;3665065;14313;32718;3387; 10.113.263.786.217.400,00 ;2018-2021
Australia;2021;Beverages;3233772;3270508;19435;133632;6483; 10.113.601.082.574.800,00 ;2018-2021
Mexico;2020;Fruits & Vegetables;4973979;5031288;15339;131221;3284; 10.115.217.615.514.700,00 ;2018-2021
Russia;2021;Prepared Food;194727;196997;17655;63749;5929; 10.116.573.459.253.200,00 ;2018-2021
India;2018;Fruits & Vegetables;632846;64028;7793;64342;6882; 10.117.469.336.931.900,00 ;2018-2021
South Africa;2022;Grains & Cereals;874028;884352;14261;113363;3714; 10.118.119.785.636.200,00 ;2022-2024
Turkey;2021;Bakery Items;3045077;3081212;2146;8715;6555; 10.118.666.949.965.500,00 ;2018-2021
China;2022;Meat & Seafood;748155;75706;10016;14858;6113; 10.119.026.137.631.900,00 ;2022-2024
France;2018;Dairy Products;1846193;1868259;19266;59651;4413; 10.119.521.631.812.100,00 ;2018-2021
Saudi Arabia;2020;Meat & Seafood;275833;279166;2195;5671;3268; 10.120.833.982.880.900,00 ;2018-2021
Italy;2022;Prepared Food;1659343;1679472;400;1813;5834; 10.121.307.047.427.800,00 ;2022-2024
Mexico;2023;Beverages;869967;880529;18981;34531;6442; 10.121.406.903.940.000,00 ;2022-2024
Canada;2023;Prepared Food;4678967;4736114;17492;132044;3479; 10.122.135.932.995.500,00 ;2022-2024
Australia;2018;Prepared Food;291872;2954419;12984;129192;5407; 10.122.310.464.861.300,00 ;2018-2021
UK;2019;Beverages;790276;800018;3851;135535;3161; 10.123.273.388.031.500,00 ;2018-2021
Saudi Arabia;2024;Dairy Products;4888483;4949339;5316;7505;398; 10.124.488.517.194.400,00 ;2022-2024
Indonesia;2022;Bakery Items;4754687;4814304;1466;79635;3362; 10.125.385.750.944.300,00 ;2022-2024
Argentina;2024;Bakery Items;3945431;3995172;10491;120015;5422; 10.126.072.411.353.800,00 ;2022-2024
South Korea;2023;Beverages;2669228;2702996;3513;83067;5557; 10.126.508.488.596.700,00 ;2022-2024
Australia;2024;Frozen Food;2674808;2708657;672;59869;4657; 10.126.547.400.785.400,00 ;2022-2024
Australia;2021;Grains & Cereals;4242767;4296985;13384;43139;4579; 10.127.789.246.970.200,00 ;2018-2021
Italy;2024;Bakery Items;1737606;1760138;915;132392;3682; 10.129.672.664.574.100,00 ;2022-2024
Italy;2019;Prepared Food;4842276;490507;3649;15974;3635; 10.129.678.688.286.300,00 ;2018-2021
China;2023;Frozen Food;211779;214555;12754;103496;4575; 10.131.080.040.986.100,00 ;2022-2024
India;2021;Prepared Food;2318893;2349456;11777;104365;3691; 10.131.799.957.997.200,00 ;2018-2021
India;2020;Beverages;3983837;4036498;12376;134718;3725; 10.132.186.633.137.900,00 ;2018-2021
Spain;2019;Prepared Food;908403;920448;17075;114519;6971; 10.132.595.334.889.900,00 ;2018-2021
Turkey;2022;Prepared Food;4607081;4668482;5847;67467;4272; 10.133.275.277.773.500,00 ;2022-2024
Germany;2024;Fruits & Vegetables;944844;957478;13695;39509;367; 10.133.715.195.312.700,00 ;2022-2024
Russia;2019;Fruits & Vegetables;2703065;273924;16905;91996;5155; 10.133.829.560.147.500,00 ;2018-2021
USA;2024;Dairy Products;96664;979589;19207;30096;6259; 10.133.958.867.830.800,00 ;2022-2024
Italy;2021;Beverages;17567;178036;12615;18395;3721; 10.134.684.351.340.600,00 ;2018-2021
USA;2018;Beverages;3972162;4025748;16604;76078;3305; 10.134.903.863.437.600,00 ;2018-2021
Japan;2019;Prepared Food;4994823;5063751;10811;122046;6344; 10.137.998.884.044.500,00 ;2018-2021
South Korea;2018;Grains & Cereals;362765;3678135;19505;28795;4845; 10.139.167.229.473.600,00 ;2018-2021
UK;2019;Frozen Food;2845758;2885592;15607;127754;6616; 10.139.976.765.417.200,00 ;2018-2021
Russia;2022;Dairy Products;4103117;416060;19876;137901;3985; 10.140.095.931.946.400,00 ;2022-2024
France;2024;Frozen Food;131406;133264;12869;108283;4081; 10.141.393.848.073.900,00 ;2022-2024
Turkey;2019;Bakery Items;1381052;1400596;936;65187;3071; 10.141.515.308.619.800,00 ;2018-2021
USA;2024;Frozen Food;3645483;3697089;9261;12824;4242; 10.141.561.488.560.000,00 ;2022-2024
Indonesia;2018;Dairy Products;4504861;4568734;2368;34097;6097; 10.141.786.838.706.000,00 ;2018-2021
Argentina;2023;Frozen Food;4927974;4998207;16635;85267;6508; 10.142.519.014.913.600,00 ;2022-2024
Canada;2020;Meat & Seafood;1807956;1834108;17068;13721;3847; 10.144.649.537.931.200,00 ;2018-2021
Germany;2021;Dairy Products;2177382;220894;16001;10074;4036; 10.144.935.523.486.500,00 ;2018-2021
South Korea;2024;Bakery Items;2453644;248923;14749;30521;5425; 10.145.033.264.809.400,00 ;2022-2024
Russia;2021;Frozen Food;396738;4025101;7933;79652;5215; 10.145.488.962.489.100,00 ;2018-2021
Australia;2020;Beverages;1924553;1952832;12638;100598;6025; 10.146.938.016.256.200,00 ;2018-2021
Japan;2024;Beverages;3536751;3589889;4767;68695;354; 10.150.245.239.204.000,00 ;2022-2024
Italy;2023;Fruits & Vegetables;3087529;313416;19826;34904;5264; 10.151.030.160.364.500,00 ;2022-2024
Spain;2022;Prepared Food;3854989;3913269;9288;85027;6005; 10.151.180.716.728.400,00 ;2022-2024
Spain;2021;Beverages;2969738;3015049;8229;50197;673; 10.152.575.749.106.500,00 ;2018-2021
Australia;2019;Prepared Food;332144;3372237;2648;47894;4514; 10.152.936.678.067.300,00 ;2018-2021
France;2018;Beverages;1174758;1192744;3153;42929;3467; 10.153.103.873.308.400,00 ;2018-2021
France;2020;Meat & Seafood;187190;1900664;4365;32661;3293; 10.153.662.054.596.900,00 ;2018-2021
Canada;2023;Prepared Food;160698;1631685;4272;135429;5406; 10.153.735.578.538.600,00 ;2022-2024
Argentina;2021;Frozen Food;457125;464171;2911;58523;4635; 10.154.137.270.987.100,00 ;2018-2021
South Africa;2024;Frozen Food;394787;4008726;15555;37584;3116; 10.154.148.946.140.600,00 ;2022-2024
Argentina;2024;Fruits & Vegetables;3703713;3762057;2679;10188;4165; 10.157.528.404.603.700,00 ;2022-2024
Indonesia;2024;Meat & Seafood;1048716;1065306;5736;105481;4374; 10.158.193.447.987.800,00 ;2022-2024
South Africa;2022;Beverages;332313;3376693;11361;123297;5024; 10.161.182.379.262.900,00 ;2022-2024
Australia;2023;Prepared Food;1362518;1384511;12826;1222;698; 10.161.414.381.314.600,00 ;2022-2024
Spain;2024;Dairy Products;2132853;2167387;5609;36574;5062; 10.161.914.581.079.900,00 ;2022-2024
India;2020;Dairy Products;1186751;1206095;19904;22488;690; 10.162.999.651.991.000,00 ;2018-2021
South Africa;2024;Bakery Items;4013185;4078647;786;138586;5846; 10.163.117.324.519.100,00 ;2022-2024
Spain;2024;Frozen Food;3050911;3100916;12506;128588;324; 10.163.901.864.066.200,00 ;2022-2024
South Korea;2021;Dairy Products;537849;546676;1680;67489;5681; 10.164.116.694.462.600,00 ;2018-2021
UK;2021;Frozen Food;4730857;4808855;8674;83906;6022; 10.164.870.762.316.400,00 ;2018-2021
Germany;2023;Dairy Products;1229552;1249826;15868;121098;6908; 10.164.889.325.543.000,00 ;2022-2024
South Korea;2020;Prepared Food;118628;1205954;16753;6482;359; 10.165.846.174.596.200,00 ;2018-2021
South Korea;2022;Meat & Seafood;305889;3110157;2156;96488;5723; 10.167.600.011.769.000,00 ;2022-2024
Australia;2023;Beverages;1250903;1271888;2614;107282;3095; 10.167.758.811.034.900,00 ;2022-2024
China;2021;Fruits & Vegetables;4473313;454854;12831;101479;586; 10.168.168.424.610.600,00 ;2018-2021
Germany;2022;Prepared Food;3195938;3249774;1689;21383;6096; 10.168.451.327.904.400,00 ;2022-2024
South Korea;2020;Grains & Cereals;4519143;4595679;5702;127131;4709; 10.169.359.544.497.700,00 ;2018-2021
Spain;2023;Grains & Cereals;2005923;2040265;8638;6911;4802; 10.171.202.982.367.700,00 ;2022-2024
South Korea;2022;Prepared Food;2275988;2315096;14015;116468;3096; 10.171.828.673.964.900,00 ;2022-2024
India;2024;Prepared Food;1631938;1660071;15521;12364;6959; 10.172.390.127.566.100,00 ;2022-2024
India;2022;Frozen Food;1162926;118298;6413;71637;3213; 10.172.444.334.377.300,00 ;2022-2024
USA;2023;Prepared Food;4149282;4221023;11667;121289;4325; 10.172.899.793.265.400,00 ;2022-2024
Australia;2021;Meat & Seafood;2306421;2346658;10885;100791;4896; 10.174.456.441.386.900,00 ;2018-2021
India;2021;Grains & Cereals;3869727;3937259;16488;13223;5328; 10.174.513.602.639.200,00 ;2018-2021
Turkey;2023;Grains & Cereals;4252541;4326776;9559;120086;3498; 10.174.566.218.174.000,00 ;2022-2024
UK;2018;Meat & Seafood;2787769;2836873;6536;55908;5909; 10.176.140.849.546.700,00 ;2018-2021
France;2021;Dairy Products;4288375;4363917;18174;136101;5751; 10.176.155.303.582.400,00 ;2018-2021
Russia;2020;Bakery Items;2671377;271855;1619;123716;3981; 10.176.586.831.435.600,00 ;2018-2021
UK;2021;Prepared Food;3911174;3980689;5192;86399;4069; 10.177.734.358.021.400,00 ;2018-2021
Germany;2022;Prepared Food;4797853;4884203;11425;11177;5891; 10.179.976.335.248.300,00 ;2022-2024
South Africa;2021;Frozen Food;225181;2292693;13246;7943;3863; 10.181.556.170.369.600,00 ;2018-2021
Australia;2018;Fruits & Vegetables;638432;650024;13196;134741;4512; 10.181.569.846.123.000,00 ;2018-2021
USA;2019;Dairy Products;4310017;4388864;18815;79126;671; 10.182.938.953.605.100,00 ;2018-2021
Indonesia;2018;Grains & Cereals;328911;3349687;6456;44114;5123; 10.184.174.442.326.300,00 ;2018-2021
Germany;2024;Dairy Products;1467452;1494746;13302;7441;5274; 10.185.995.862.215.600,00 ;2022-2024
South Korea;2023;Prepared Food;491077;5002556;11542;23371;5795; 10.186.907.552.176.100,00 ;2022-2024
Australia;2019;Grains & Cereals;90067;91774;16802;21636;5606; 10.189.525.575.405.000,00 ;2018-2021
USA;2019;Dairy Products;1466113;1494014;10219;101278;5761; 10.190.305.931.398.200,00 ;2018-2021
Canada;2023;Grains & Cereals;4879372;4972743;8306;55759;3867; 10.191.358.642.054.800,00 ;2022-2024
Turkey;2022;Fruits & Vegetables;1076612;1097216;18251;11834;323; 10.191.378.138.085.000,00 ;2022-2024
India;2023;Beverages;4720466;4811564;4803;118066;3215; 10.192.985.184.089.900,00 ;2022-2024
France;2020;Grains & Cereals;4629203;4719254;8661;4866;609; 10.194.528.086.152.200,00 ;2018-2021
India;2023;Beverages;1728999;1762825;7006;40493;4057; 10.195.639.210.896.000,00 ;2022-2024
Saudi Arabia;2024;Fruits & Vegetables;603218;615126;1123;133245;5237; 10.197.407.902.284.100,00 ;2022-2024
Mexico;2023;Meat & Seafood;853459;870364;4365;48773;5602; 10.198.076.298.920.000,00 ;2022-2024
Argentina;2020;Meat & Seafood;3615321;3687087;17639;112059;6062; 10.198.505.194.974.400,00 ;2018-2021
Argentina;2020;Grains & Cereals;382319;389925;7529;47768;4053; 10.198.943.813.935.500,00 ;2018-2021
South Korea;2024;Beverages;297147;30306;3905;35207;4535; 10.198.992.417.894.200,00 ;2022-2024
South Africa;2024;Dairy Products;3255033;3320271;10586;50883;3461; 10.200.421.931.206.200,00 ;2022-2024
Spain;2020;Grains & Cereals;3777906;385371;11599;71379;5087; 10.200.650.836.733.400,00 ;2018-2021
Turkey;2019;Bakery Items;3620868;3693681;5558;109148;3789; 10.201.092.666.178.400,00 ;2018-2021
France;2021;Meat & Seafood;4375097;4463177;8869;105059;6659; 10.201.321.250.706.000,00 ;2018-2021
USA;2018;Fruits & Vegetables;3417059;3485968;9439;77703;416; 10.201.661.721.380.900,00 ;2018-2021
Argentina;2024;Fruits & Vegetables;4846245;4944365;7176;106138;3967; 10.202.466.032.980.200,00 ;2022-2024
USA;2019;Prepared Food;1956053;1995661;15203;102946;4371; 10.202.489.400.849.600,00 ;2018-2021
USA;2023;Grains & Cereals;979974;999861;13016;15764;386; 10.202.933.955.390.700,00 ;2022-2024
China;2018;Grains & Cereals;4898417;4997844;2807;138008;6039; 10.202.977.819.160.800,00 ;2018-2021
Canada;2019;Grains & Cereals;4527909;4620271;11232;104586;6846; 10.203.983.781.476.200,00 ;2018-2021
India;2024;Bakery Items;429052;4378119;14707;86671;333; 10.204.168.725.469.200,00 ;2022-2024
Saudi Arabia;2019;Prepared Food;4453083;4544033;15981;13228;3291; 10.204.240.522.801.800,00 ;2018-2021
Spain;2021;Dairy Products;791303;80751;15235;17773;6035; 10.204.814.085.122.900,00 ;2018-2021
South Korea;2020;Beverages;124288;1268551;9923;106428;5719; 10.206.544.477.342.900,00 ;2018-2021
Japan;2023;Fruits & Vegetables;2369963;2418961;7028;13031;4977; 10.206.745.843.711.500,00 ;2022-2024
China;2024;Dairy Products;988528;100900;19359;15589;3405; 10.207.095.803.052.600,00 ;2022-2024
Mexico;2024;Bakery Items;4596748;469248;18102;102526;4885; 10.208.260.274.437.500,00 ;2022-2024
Mexico;2021;Meat & Seafood;424298;4331409;9442;54022;5502; 10.208.412.483.678.900,00 ;2018-2021
Germany;2018;Bakery Items;2631221;2686516;324;72621;5977; 10.210.149.584.546.500,00 ;2018-2021
Canada;2019;Frozen Food;95149;97159;5951;23946;4248; 10.211.247.622.150.500,00 ;2018-2021
Spain;2018;Beverages;2644153;2700075;10349;42503;3832; 10.211.493.056.566.700,00 ;2018-2021
Mexico;2021;Prepared Food;2064174;2108359;7579;129317;6135; 10.214.056.566.936.700,00 ;2018-2021
France;2022;Fruits & Vegetables;4666891;4766901;10929;6470;5151; 10.214.296.841.301.800,00 ;2022-2024
Russia;2019;Prepared Food;2196871;2244031;2683;9069;5618; 10.214.668.954.162.500,00 ;2018-2021
India;2023;Bakery Items;1104053;1127852;8392;17233;6477; 10.215.560.303.717.300,00 ;2022-2024
Brazil;2021;Meat & Seafood;2592567;2648525;16172;39086;6776; 10.215.840.130.650.400,00 ;2018-2021
Brazil;2018;Frozen Food;1171538;1196861;17668;22004;4992; 10.216.151.759.482.000,00 ;2018-2021
China;2022;Bakery Items;2689467;2747666;11171;116474;5372; 10.216.396.036.835.600,00 ;2022-2024
Australia;2018;Fruits & Vegetables;1809721;1848913;395;19764;5964; 10.216.563.768.669.300,00 ;2018-2021
India;2021;Prepared Food;3969184;4055588;2957;105255;3367; 10.217.687.061.118.900,00 ;2018-2021
Brazil;2022;Fruits & Vegetables;4384687;4481033;6792;16779;4076; 10.219.732.902.257.300,00 ;2022-2024
China;2020;Beverages;1302667;1331356;15825;105269;5818; 10.220.232.799.326.300,00 ;2018-2021
UK;2022;Meat & Seafood;4128364;4219546;7815;51362;4616; 10.220.867.152.218.200,00 ;2022-2024
Canada;2020;Bakery Items;4026279;4115289;5815;81623;5271; 10.221.072.608.232.100,00 ;2018-2021
South Korea;2024;Bakery Items;616464;630118;14144;134658;5448; 10.221.489.008.279.500,00 ;2022-2024
Mexico;2021;Prepared Food;4170122;4262963;15495;85056;644; 10.222.633.774.263.700,00 ;2018-2021
Turkey;2020;Bakery Items;3952576;4040995;4756;103209;5884; 10.223.699.683.446.900,00 ;2018-2021
France;2022;Fruits & Vegetables;2362674;2415613;19838;74517;6668; 10.224.063.920.794.800,00 ;2022-2024
Argentina;2019;Bakery Items;4686024;4791304;14729;71378;3311; 10.224.668.076.817.400,00 ;2018-2021
Japan;2021;Frozen Food;423648;433167;2107;9467;6654; 10.224.691.253.115.800,00 ;2018-2021
USA;2024;Bakery Items;3721935;3805765;18606;90455;6248; 10.225.232.305.239.100,00 ;2022-2024
